"PolicyNumber";"ProposalNumber";"Proses";"AgentCd";"productCd";"CreatedDate";"TransactionId"
"13396723";"9700137244";SWI;"81000312";U2N;2021-03-12 15:02:17;ec2bca58-127b-4977-ac64-a24d52545aa9
"12482998";"9000094302";SWI;"01005528";U2Z;2021-03-12 15:01:25;e65c3a41-3dfd-4588-bd3f-dec1b289cf12
"12195067";"200205580";SWI;"01005528";U2T;2021-03-12 14:43:32;baec125c-30be-472c-b81b-bedb1960b894
"13595461";"9700128142";SWI;"01004384";U2N;2021-03-12 14:31:09;"42c70936-cd70-461b-93ef-5e5742522920"
"13602467";"9700157361";SWI;"81000312";U2N;2021-03-12 14:05:01;"7d36c9a6-e4a5-4d09-936a-d71f1f5b4e6a"
"13328450";"9700137238";SWI;"81000312";U2Z;2021-03-12 13:57:28;cc678954-77d6-435f-a576-919149b7637b
"13348321";"9700137240";SWI;"81000312";U2N;2021-03-12 13:52:31;"798ec763-a54c-4f3c-82ab-46127f5d1382"
"13323661";"9700137237";SWI;"81000312";U2N;2021-03-12 13:48:22;"6430db81-94e0-4864-91f1-0c8e10ce9628"
"13593717";"9700150929";TUP;"01005430";U4D;2021-03-12 13:37:16;bd0b934b-311d-4fcc-8d1c-0fdd3668fb57
"13087775";"9000146777";SWI;"01004696";U2T;2021-03-10 11:20:26;"609d5ad7-b05a-437f-807f-edc5691f3519"
"12816852";"9000144263";SWI;"01005694";U2T;2021-03-05 04:52:16;c1a92378-e1ad-4e41-8053-062beeb2a122
"12616144";"9000139714";SWI;"01004479";U2V;2021-03-04 05:45:00;a1dc8fb9-9c3a-4c8d-825a-791060eb9155
"11689525";"200173389";SWI;"01005358";U2Z;2021-03-04 03:05:34;e4729ccb-5eb4-4fb2-a2c3-b0b8afe931ae
"13353602";"9700142525";SWI;"01004384";U2N;2021-03-03 02:24:34;d782244e-cb26-457c-96e6-ab60419feabb
"12850616";"9000144751";SWI;"01005480";U2Z;2021-03-03 01:26:39;c8966a19-2131-4991-bbbb-654d69f4148a
"13592717";"9700149503";SWI;"01004696";U2Z;2021-03-01 06:38:49;"8dd16f01-176c-46f6-84e1-8ed8a1298e51"
"13589504";"9700157013";TUP;"81000312";U2N;2021-03-01 04:50:35;"9b101a62-9b97-4248-943c-b83f3b06cda6"
"13589504";"9700157013";TUP;"81000312";U2N;2021-03-01 03:03:12;"6be156ce-b747-4fb3-8b9b-20b8c13bce81"
"13589504";"9700157013";TUP;"81000312";U2N;2021-03-01 02:36:27;"8c7b56be-9136-44ff-b5c5-9228931cb53d"
"13589504";"9700157013";TUP;"81000312";U2N;2021-03-01 02:32:02;cb03a6ac-01bd-4e14-bb7f-560343bd0f07
"13589504";"9700157013";TUP;"81000312";U2N;2021-03-01 02:28:00;"5c9e080d-fc27-47f0-9f7d-bcc390ac4a2e"
"13589504";"9700157013";TUP;"81000312";U2N;2021-03-01 02:26:02;"048be5ee-440e-4db8-aa87-0c9a869b7062"
"13589504";"9700157013";TUP;"81000312";U2N;2021-03-01 02:25:23;"465a53cf-9f15-4b5a-adfe-1e144b81429b"
